publication_type	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	coverage_depth	coverage_notes	publisher_name	linking_issn
serial	Al-Bidayah: Jurnal Pendidikan Dasar Islam	2085-0034	2549-3388	2018	10		2022	13				container_wmttnfq3dvec3iv74iiepsbrfi	fulltext		Al-Jamiah Research Centre	2549-3388
serial	Crystal Structure Theory and Applications	2169-2491	2169-2505	2012	1		2019	8				container_evrzhdqqbjfzvoxd2rmth35vwa	fulltext		Scientific Research Publishing, Inc	2169-2491
serial	Multimed		1028-4818	2016	20		2018	22				container_oqco7oysyrdo7gwmzw3r5hqouq	fulltext		Universidad de Ciencias Médicas de Granma	1028-4818
serial	Geodesy and Cartography	2080-6736	2300-2581	2010	59		2017	66				container_2apha4mrsvhdpibim3jspxquaa	fulltext		De Gruyter Open Sp. z o.o.	2080-6736
serial	Journal of Pathogens	2090-3057	2090-3065	2011	2011		2022	2022				container_hbisiamrqjfmdhek2oevytc6jy	fulltext		Hindawi Limited	2090-3057
serial	Mongolian Journal of Chemistry	2226-6739	2414-0082	2014	12		2022	23				container_ngjrhcfbajgrhj6w3fmidkmw7m	fulltext		Mongolia Journals Online	2226-6739
serial	Germanistische Beiträge	1454-5144	2247-4633	2019	44		2020	46				container_d2jzquuxgvhlbmqadhpzrysesa	fulltext		De Gruyter Open Sp. z o.o.	1454-5144
serial	Entrelinhas		1806-9509	2017	11		2022	14				container_iksm4vkddbffxpkmjv6synpiq4	fulltext		Universidade do Vale do Rio Dos Sinos - UNISINOS	1806-9509
serial	Ultrasound International Open	2509-596X	2199-7152	2015	1		2021	7				container_qmovilil4vcund34aej624gncm	fulltext		Georg Thieme Verlag	2199-7152
serial	Open Journal of Organ Transplant Surgery	2163-9485	2163-9493	2011	1		2022	10				container_oah7ppyo7zgonasmcjsw6vjvde	fulltext		Scientific Research Publishing, Inc	2163-9485
serial	General mathematics	1221-5023	1584-3289	2019	27		2020	28				container_s3rri7u5vngmjg3ixm2onhzqe4	fulltext		"Department of mathematics, ""Lucian Blaga"" University of Sibiu"	1221-5023
serial	Investigación Agraria	1684-9086	2305-0683	2017	19		2022	24				container_tbxlid5vlve5fix2525wvcnvgq	fulltext		Universidad Nacional de Asunción	1684-9086
serial	International Journal of Vascular Medicine	2090-2824	2090-2832	2010	2010		2022	2022				container_qb7sjcwqbfbs5cznuulatqaxz4	fulltext		Hindawi Limited	2090-2824
serial	The Journal of the Japanese Landscape Architectural Society		2185-3045	1925	1		1927	3				container_ayrx5aj65vbjbjjxhn5jo45ncu	fulltext		Japanese Institute of Landscape Architecture	2185-3045
serial	Acta Zoologica Academiae Scientiarum Hungaricae	1217-8837	2064-2474	2015	61		2020	66				container_kp2lsry2dveolnhdkbtabp4ane	fulltext		Acta Zoologica Hungarica	1217-8837
serial	Revista Médica de Risaralda	0122-0667	2539-5203	2017	23		2021	27				container_34if6qi4b5cpte4ocg5nxsdjga	fulltext		Universidad Tecnologica de Pereira - UTP	0122-0667
serial	Ágora revista de divulgação científica	0104-7507	2237-9010	2013	18		2022	27				container_d4btpulxpjgobclxihsa5er2qe	fulltext		Universidade do Contestado - UnC	0104-7507
serial	Sri Lankan Journal of Medical Administration	1391-2909		2013	13		2021	22				container_m4ipccp2vrewbfwpl4ekkom5fq	fulltext		Sri Lanka Journals Online	1391-2909
serial	Faṣlnāmah-i Akhlāq-i Pizishkī	2008-4374	2423-7604	2016	10		2017	11				container_4gnsa34na5g2vg2v3duzk2kjj4	fulltext		Shahid Beheshti University of Medical Sciences	2008-4374
serial	Inovasi	2615-3815	2614-8935	2019	16		2022	19				container_qzlenqzrijhmfprzfyr54jt5ni	fulltext		Badan Penelitian dan Pengembangan Provinsi Sumatera Utara	1829-8079
serial	Revista Filosófica de Coimbra	0872-0851	2184-7584	2021	30		2023	32				container_3pp46zyus5f37gyb6oc4uhnyw4	fulltext		Coimbra University Press	2184-7584
serial	Georgia Journal of College Student Affairs		2330-7269	2013	29		2023	39				container_nrdeczgasbdofgrjj2tce5slcm	fulltext		Georgia Southern University	2330-7269
serial	Politička Misao	0032-3241	1846-8721	2018	55		2021	58				container_eihgxrmiszcvlfpeoybpr62t5y	fulltext		Faculty of Political Science, University of Zagreb	0032-3241
serial	International journal of public health research	2232-0253	2232-0245	2019	3		2022	12				container_ynho6bv45ncx7bt537mlfe6kce	fulltext			2232-0253
serial	Multicultural Shakespeare	2083-8530	2300-7605	2011	10		2021	24				container_minwh3ygnfgl7biynacqa4qxoi	fulltext		Uniwersytet Lodzki (University of Lodz)	2083-8530
serial	Jurnal Teknoinfo	1693-0010	2615-224X	2016	10		2023	17				container_fhlxldvgdfdvjhs6xnbrvy4gne	fulltext		Universitas Teknokrat Indonesia	1693-0010
serial	Konwersatorium Wiedzy o Mieście	2543-9421	2544-1221	2017	30		2022	34				container_dgunrdesv5bd7fls52xeu7qn44	fulltext		Uniwersytet Lodzki (University of Lodz)	2543-9421
serial	Eiseigaku oyobi saikingaku jiho		1883-6933	1904	1		1914	6				container_zwmhmtdgmbcedpx5rurj3h7kby	fulltext		Japanese Society for Bacteriology	1883-6933
serial	Journal of Thyroid Research	2090-8067	2042-0072	2010	2010		2023	2023				container_wjjqgamw75drff3dpsapjqrjce	fulltext		Hindawi Limited	2042-0072
serial	Alcoholism and Psychiatry Research	1849-8582	2459-542X	2016	52		2017	53				container_jmfu6gbuczbftiqpuohnkuomcu	fulltext		Sestre Milosrdnice University Hospital Center (KBC Sestre milosrdnice)	1849-8582
serial	Minbar Islamic Studies	2618-9569	2712-7990	2020	13		2022	14				container_xmp57vpj2zggtb5usjjvdv7ipi	fulltext		Russian Islamic Institute	2618-9569
serial	Zosen Kiokai Nenpo		1884-2046	1897	1897		1902	1902				container_4apyqjxptjc5posew5jckq2f2m	fulltext		Japan Society of Naval Architects and Ocean Engineers	1884-2046
serial	Dimensi: Journal of Architecture and Built Environment	0126-219X	0126-219X	1999	27		2014	41				container_5gv3t46ntrgtxnek4gzgnfy7pq	fulltext		Petra Christian University	0126-219X
serial	Computational Chemistry	2332-5968	2332-5984	2013	1		2020	8				container_53sfsugx7zgkth47ptvx7yvw3u	fulltext		Scientific Research Publishing, Inc	2332-5968
serial	مجلة الدراسات المالیة والتجاریة	1687-3440	2682-3349	2016	26		2021	31				container_ij76jq7vtvcgzpqyw75iuhrwnm	fulltext		Egypts Presidential Specialized Council for Education and Scientific Research	1687-3440
serial	Journal of Surface Engineered Materials and Advanced Technology	2161-4881	2161-489X	2011	1		2020	10				container_g5qliyh3xnhithkczbxzmgagji	fulltext		Scientific Research Publishing, Inc	2161-4881
serial	Anales de Historia Antigua, Medieval y Moderna	1514-9927	1853-1555	2018	52		2022	56				container_6qhkszajwjhvlj4vfygot7mtwa	fulltext		Editorial de la Facultad de Filosofia y Letras - Universidad de Buenos Aires	1514-9927
serial	Contemporary Mathematics. Fundamental Directions	2413-3639		2017	63		2021	67				container_zrlycu4befguvam6wwrll4rf4y	fulltext		Peoples' Friendship University of Russia	2413-3639
serial	Discrete and Continuous Models and Applied Computational Science	2658-4670	2658-7149	2019	27		2022	30				container_nfajb3h5yrhn5ljxxkek2vvuha	fulltext		Peoples' Friendship University of Russia	2658-4670
serial	Development Management	2413-9610	2663-2365	2018	16		2020	18				container_bjqhn7viurejfjrmzpctj7abdq	fulltext		LLC CPC Business Perspectives	2413-9610
serial	Revista Vitae	0121-4004	2145-2660	2015	22		2022	29				container_yxkdqdphprbzllfv2najw3a7v4	fulltext		Universidad de Antioquia	2145-2660
serial	Sexual Offending: Theory, Research, and Prevention		2699-8440	2020	15		2022	17				container_euaqw7ktjvc4lf7dktbd45ormq	fulltext		Leibniz-Institute for Psychology Information (ZPID)	2699-8440
serial	Jurnal Agroekoteknologi	2085-7985	2548-7108	2015	10		2022	14				container_ugcwwxdzqnd6tlescowdilwvee	fulltext		Fakultas Pertanian Universitas Sultan Ageng Tirtayasa	2085-7985
serial	Russian Journal of Multilingualism and Education	2500-3267	2500-0748	2019	11		2021	13				container_czyp5xwt3vcznhrjo7yanfup6m	fulltext		Udmurt State University	2500-3267
serial	BCES Conference Books	1314-4693	2534-8426	2017	15		2020	18				container_d72vqyx3r5gx3aom3tnjfxn7cy	fulltext		Bulgarian Comparative Education Society (BCES)	1314-4693
serial	Information Technology and Management Science	2255-9086	2255-9094	2012	15		2021	24				container_dlwvk7ko2bbfdgs6cbzmo3xu7q	fulltext		Sciendo	2255-9086
serial	Izvestiya: Journal of Varna University of Economics	2367-6361	2367-6957	2020	64		2022	66				container_ead2utrsbbdtrpqtjoeq3ew2ma	fulltext		University of Economics Varna	2367-6361
serial	Revista Estudo & Debate	0104-7132	1983-036X	2016	23		2022	29				container_p4gwweyb3vfxlknb3nu7wfjawe	fulltext		Editora Univates	0104-7132
serial	Annales UMCS Politologia	1428-9512	2300-7567	2016	22		2022	28				container_eay33z7rcbbonb6hnoy5qapt24	fulltext		Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej w Lublinie	1428-9512
serial	Archives of Metallurgy and Materials	1733-3490	2300-1909	2010	55		2022	62				container_5mkeqcfoyrajlkshps4uwdxwd4	fulltext		De Gruyter Open Sp. z o.o.	1733-3490
serial	Formação	1517-543X	2178-7298	2017	24		2021	28				container_zecwfxmsfrgq3koq6wtulhvoge	fulltext		Revista Formacao	1517-543X
serial	Colección. Revista del Instituto de Ciencias Políticas y Relaciones Internacionales de la Pontificia Universidad Católica Argentina	0328-7998	1850-003X	2020	31		2022	33				container_wdy6qz5mdreezkzmfqcne45qmi	fulltext		Instituto de Ciencias Políticas y Relaciones Internacionales, Pontificia Universidad Católica Argentina	0328-7998
serial	Toplum Bilimleri Dergisi	1306-7877	1306-7877	2007	10		2022	33				container_hi4zwqlchzgnxhcafysholtr7m	fulltext		ASOS Yayinevi	2147-5644
serial	Jurnal ekonomi	2087-8133		2021	12		2022	13				container_wtjpbyx7ynashn3aig4j2sspga	fulltext			2087-8133
serial	Криміналістичний вісник	1992-4437		2018	30		2021	36				container_hln3f2zyuren5crwj2pxshnonq	fulltext		State Scientific Research Forensic Centre of the Ministry of Internal Affairs of Ukraine	1992-4437
serial	Jurnal Ledalero	1412-5420	2503-4316	2019	18		2022	21				container_yan5hyrsybd3vm5x24tfzah2sy	fulltext		Jurnal Ledalero	2503-4316
serial	QWERTY - Interdisciplinary Journal of Technology, Culture and Education	1828-7344	2240-2950	2018	1		2023	18				container_fc7csmtttvdqdmb77kusig4q2e	fulltext		Progedit - Progetti Editoriali srl	1828-7344
serial	بحوث فی علم المکتبات والمعلومات		2682-4418	2021	26		2022	29				container_inev4ydzfbfw7f6zw5pcoc5xia	fulltext		Egypts Presidential Specialized Council for Education and Scientific Research	2090-0988
serial	Among Makarti	1979-7400	2774-5163	2021	14		2022	15				container_qp7zfjpgsnfyteurbyu3tqkmmi	fulltext		Jurnal Ilmiah Among Makarti, STIE AMA Salatiga	1979-7400
serial	Educación Lenguaje y Sociedad	1668-4753	2545-7667	2014	11		2022	21				container_5m3htt5ffvgtvpsbb4kpzgsvei	fulltext		Universidad Nacional de La Pampa	1668-4753
serial	Caietele Echinox	1582-960X	1582-960X	2017	32		2022	44				container_b6uysjdn7jbdfp66wmmts6mdza	fulltext		Babes-Bolyai University	1582-960X
serial	Transmisi	1411-0814	2407-6422	2019	21		2021	23				container_w55eydp3p5efra7jao3plwvpra	fulltext		Institute of Research and Community Services Diponegoro University (LPPM UNDIP)	2407-6422
serial	Kairos	1846-4599	1848-2511	2018	12		2021	15				container_yy3nulxbsrfudcvxyhccopkbjm	fulltext		Biblijski institut	1846-4599
serial	Paradigma Jurnal Filsafat Sains Teknologi dan Sosial Budaya	0852-3185	2657-1803	2020	26		2022	28				container_q2e7scpt7bcc3m35jq5sg23ylq	fulltext		IKIP Budi Utomo Malang	0852-3185
serial	Regional and Business Studies	2061-2311	2732-2726	2019	10		2022	14				container_ycy7jf7utfezlmpgpolctmz6jy	fulltext		Regional and Business Studies	2061-2311
serial	Jurnal Desain Idea Jurnal Desain Produk Industri Institut Teknologi Sepuluh Nopember Surabaya	1411-3023	2580-0264	2016	16		2021	20				container_s2mibwsennhzxipbdvyam56a5y	fulltext		Lembaga Penelitian dan Pengabdian kepada Masyarakat ITS	1411-3023
serial	Proceedings of the International Association of Hydrological Sciences	2199-8981	2199-899X	2014	364		2021	384				container_6wnm6r2gffhthgvpxqssprpfbq	fulltext		Copernicus GmbH	2199-899X
serial	Current Issues in Middle Level Education		1938-1611	2019	24		2022	27				container_pvtf5vmmqrfmnilg7a2443vdbu	fulltext		Georgia Southern University	1059-7107
serial	Opus Magna Constitucional		2707-9856	2020	16		2022	19				container_ai2x4fdke5hrpgytaoln5jswja	fulltext		Corte de Constitucionalidad de Guatemala	2707-9856
serial	Ultima Década	0717-4691	0718-2236	2000	10		2020	28				container_lsmldmisl5brrminnzkmfr5bxy	fulltext		SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica	0717-4691
serial	Filosofija Sociologija	0235-7186	2424-4546	2018	29		2022	33				container_m7sl663j2vbtrg5eld3zvex6tm	fulltext		Lithuanian Academy of Sciences	0235-7186
serial	Revista Odontológica do Brasil Central	0104-7914	1981-3708	2019	28		2022	31				container_vnvm6imoerax7fc7fsucjpjlxu	fulltext		Revista Odontologica do Brasil Central - ROBRAC	0104-7914
serial	TRITON Jurnal Manajemen Sumberdaya Perairan	1693-6493	2656-2758	2019	15		2022	18				container_moo2oc5hdnazzngfzk2obmk4nm	fulltext		Universitas Pattimura	1693-6493
serial	Āyinah-i ma̒rifat	2251-8010		2020	20		2022	21				container_nf47jstepnewzdlqf7g3irbe6i	fulltext			2251-8010
serial	Archives of Orofacial Sciences	1823-8602	2231-7163	2019	14		2020	15				container_idh7i5u76feh5jrzj6zhsoafdi	fulltext		Universiti Sains Malaysia	1823-8602
serial	Central European Review of Economics & Finance	2082-8500	2083-4314	2017	17		2022	41				container_gucd5xazwnce3jc4iiquu7nkya	fulltext		Instytut Badan Gospodarczych / Institute of Economic Research	2083-4314
serial	Revista de la Asociación Colombiana de Dermatología y Cirugía Dermatológica	1657-0448	2590-843X	2019	27		2022	30				container_ysun6qktqnentioxfkkcnxljjq	fulltext		Asociacion Colombiana de Dermatologia y Cirugia Dermatologica	1657-0448
serial	Journal of STEM Teacher Education	2158-6586	2158-6594	2010	47		2022	57				container_d6j7c5o76zd6hprfgiimc32gcu	fulltext		Illinois State University	2158-6594
serial	The American Journal of Applied Sciences		2689-0992	2019	1		2020	2				container_sfktz2sfejeepczwmievab2z2a	fulltext		The USA Journals	2689-0992
serial	The Journal of Japanese Society of Lumbar Spine Disorders	1345-9074	1882-1863	2000	6		2009	15				container_7yjz2qkmebfl7dujxnxedintfa	fulltext		The Japanese Society of Lumbar Spine Disorders	1345-9074
serial	Jurnal Ilmiah Bina Edukasi	1979-8598	2655-8378	2019	12		2022	15				container_kiisbbu76je2jhwhogvqrpslhi	fulltext		Universitas Bina Darma	1979-8598
serial	International Journal of Education and Social Science Research		2581-5148	2019	2		2022	5				container_3wufgmylpvebto6vcv3owhivuu	fulltext		Chronopub Publications	2581-5148
serial	Jurnal Kesehatan Masyarakat Indonesia	1693-3443	2613-9219	2019	14		2022	17				container_z2ovqdcbybh2jid4ds2sh677gu	fulltext		LPPM Universitas Muhammadiyah Semarang	1693-3443
serial	Journal of Contemporary History	0590-9597	1848-9079	2002	34		2021	53				container_dfshuqra7vdfpp26xyui37j6ai	fulltext		Croatian Institute of History (Hrvatski Institut za Povijest)	0590-9597
serial	Journal of Physical Education and Sports Studies	2602-3644		2018	10		2021	14				container_5fah6x3sq5aqnolkdxhl7edaw4	fulltext		Journal of Physical Education and Sports Studies	2602-3644
serial	Revista de teoria da história		2175-5892	2020	23		2022	24				container_skofpwugcjci3nxkhstsq2jzd4	fulltext		Universidade Federal de Goiás	2175-5892
serial	Psychology of Language and Communication	1234-2238	2083-8506	2008	12		2019	23				container_o4mxj6wlefaeblpwsnemljlg6e	fulltext		De Gruyter Open Sp. z o.o.	1234-2238
serial	Revista de Ciências Sociais	0041-8862	2318-4620	2018	50		2021	52				container_cjx5ebcegbfbnpt2d6uicvesx4	fulltext		Universidade Federal do Ceará	0041-8862
serial	Revista Hospitalidade	1807-975X	2179-9164	2016	13		2018	15				container_egyviy2m35d3hmffdenmvoqjny	fulltext		ANPAD	1807-975X
serial	Journal of Theoretical and Applied Mechanics	1314-8710	1314-8710	2012	42		2022	52				container_nonngxdzvnbwtnn2posfbeecye	fulltext		De Gruyter Open Sp. z o.o.	0861-6663
serial	Veterinarska stanica	0350-7149	1849-1170	2020	51		2021	53				container_apezysiklrapjn24277bxe6p3m	fulltext		Croatian Veterinary Institute, Zagreb	0350-7149
serial	Advances in Medicine	2356-6752	2314-758X	2014	2014		2022	2022				container_2dp3avgseff37bgcdjjlewisxi	fulltext		Hindawi Limited	2314-758X
serial	Distúrbios da Comunicação	0102-762X	2176-2724	2021	33		2022	34				container_n64jbk276jgfpcbhskwamcz74a	fulltext		Portal de Revistas PUC SP	0102-762X
serial	Ekonomiczne Problemy Turystyki	1644-0501	2353-3188	2015	29		2019	46				container_fotdwsdw2vg7boeiepkvnjmdhy	fulltext		Wydawnictwo Naukowe  Uniwersytetu Szczecińskiego	1644-0501
serial	Przeszłość Demograficzna Polski	0079-7189	2719-4345	1980	12		2023	45				container_dirnqape4jex7l7keky7fyiufa	fulltext		University of Szczecin	0079-7189
serial	Revista Linhas	1984-7238	1984-7238	2012	13		2021	22				container_hor4mlk5w5dgvaavrkhc532x7u	fulltext		Universidade do Estado de Santa Catarina	1984-7238
serial	Rozprawy Społeczne	2081-6081	2657-9332	2017	11		2023	17				container_xyejazo6fzenldxepd7367ls4m	fulltext		Pope John Paul II State School of Higher Education in Biala Podlaska	2081-6081
serial	Case Reports in Genetics	2090-6544	2090-6552	2011	2011		2021	2021				container_menqkrfsgnhadjq4k6slaz6kae	fulltext		Hindawi Limited	2090-6552
serial	Depression Research and Treatment	2090-1321	2090-133X	2010	2010		2023	2023				container_k7k4lp6xc5f33aea54xua3b3cm	fulltext		Hindawi Limited	2090-1321
serial	Gema Kesehatan	2088-5083	2654-8100	2018	10		2022	14				container_cxfh6jiflnfadh3xixqz24xkvq	fulltext		Poltekkes Kemenkes Jayapura	2088-5083
serial	Educação, Ciência e Cultura	1413-7321	2236-6377	2015	20		2021	26				container_6jbmzg2gnrdf5dmsk5a2jbpotq	fulltext		Centro Universitario La Salle - UNILASALLE	1413-7321
serial	Revista de la Facultad de Agronomía	0041-8676	1669-9513	2019	118		2021	120				container_jyx4swizqzf7pnxo5vru6vnfmy	fulltext		Universidad Nacional de La Plata	0041-8676
serial	Romanian Journal of Applied Psychology	2392-8441	2392-845X	1999	19		2021	23				container_kqtoperxkzatjpn36drbi2tl3a	fulltext		Romanian Journal of Applied Psychology, West University of Timisoara	2392-8441
serial	Anales de Veterinaria de Murcia	0213-5434	1989-1784	2011	27		2021	35				container_rbsezckwsbbvxi7iwz4e2ctrri	fulltext		Servicio de Publicaciones de la Universidad e Murcia	0213-5434
serial	DENTA	1907-5987	2615-1790	2015	10		2023	17				container_qk6oixyygbcsthpnagti36qraa	fulltext		Universitas Hang Tuah	1907-5987
serial	St Petersburg University Journal of Economic Studies	1026-356X	2542-226X	2016	32		2021	37				container_rw42izyc2ngsnnspiarhgrewp4	fulltext		Saint Petersburg State University	1026-356X
serial	Communication of the Imaging Group of the JSRT	1345-319X	2189-3047	1999	22		2013	36				container_kh5iqed3yndp3a5idzr5d5hhdq	fulltext		J-STAGE	1345-319X
serial	Revista Interamericana de Ambiente y Turismo	0717-6651	0718-235X	2018	14		2021	17				container_dc6y4hgcnfcofnnpx5gk6fr2au	fulltext		SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica	0717-6651
serial	Reflektika	2337-6821	2580-4006	2017	12		2021	16				container_fid7c4aajjgbja7vdorla3dvxy	fulltext		Institut Dirosat Islamiyah Al-Amien Prenduan	2337-6821
serial	Lazaroa	0210-9778	1988-3307	2010	31		2016	37				container_aw727pf3kzhzhgvxgrgpdkjuae	fulltext		Universidad Complutense de Madrid	0210-9778
serial	Veredas do Direito	1806-3845	2179-8699	2014	10		2022	19				container_jkhstrf6wvc6fpwtraqrjanpu4	fulltext		Editora Dom Helder	1806-3845
serial	Agric	0854-9028	2549-9343	1970	25		2020	32				container_xexjxg2hsbhatcyegdi6nzh4hq	fulltext		Universitas Kristen Satya Wacana	0854-9028
serial	Marketing i Zarządzanie	2450-775X	2543-5574	2016	42		2018	54				container_ufw3mx2usnhitprlrdutm4thw4	fulltext		Wydawnictwo Naukowe Uniwersytetu Szczecińskiego	2450-775X
serial	Autism Research and Treatment	2090-1925	2090-1933	2010	2010		2023	2023				container_oycppqoodbcmjiy45cmmhp3quq	fulltext		Hindawi Limited	2090-1933
serial	Disciplinarum Scientia - Ciências Sociais Aplicadas	2318-678X	2318-678X	2020	16		2022	18				container_or5es3vpbfenvdyofxccekwsom	fulltext		Disciplinarum Scientia: Sociais Aplicadas	1981-5778
serial	Известия Крымской астрофизической обсерватории	0367-8466		2018	114		2022	118				container_m2lkc6u7x5cv7epky7xzj7uwiy	fulltext		Crimean Astrophysical Observatory	0367-8466
serial	Jurnal Ilmiah Keperawatan Sai Betik	1907-0357	2655-2310	2018	13		2019	15				container_r3tj56ngfnbm5cudw2xf6tv2fe	fulltext		Politeknik Kesehatan Tanjungkarang	1907-0357
serial	Politiikka	0032-3365	2669-8617	2020	62		2021	63				container_efycr72krjfgvbvpwqm2ztai4e	fulltext		Valtiotieteellinen yhdistys (Finnish Political Science Association)	0032-3365
serial	Archivos de Medicina del Deporte	0212-8799		2019	36		2022	39				container_qw7nswtuczeybp27yam7gvn66a	fulltext			0212-8799
serial	Journal of the Heat Transfar Society of Japan	1344-8692	2185-5072	1999	38		2003	42				container_jysh3h7i6jeuhdyyfraw5fvvqu	fulltext		J-STAGE	1344-8692
serial	Tikhookeanskaya Geologiya	0207-4028		2019	38		2022	41				container_xq7qir2hrfdkdn52urkrwlk6im	fulltext		Yu. A. Kosygin Institute of Tectonics and Geophysics, Far Eastern Branch, RAS	0207-4028
serial	Mimbar Ilmu	1829-877X	2685-9033	2019	24		2020	25				container_zcorq62h5vbwzdvoyhxdv475ai	fulltext		Universitas Pendidikan Ganesha	1829-877X
serial	Product Management & Development	1676-4056	1676-4056	2011	10		2021	19				container_nxx77muefbd4hfgul2moyogyr4	fulltext		Editora Cubo Multimidia	1676-4056
serial	المجلة العلمیة للإقتصاد و التجارة		2636-2562	2018	48		2021	51				container_msq7d5gwnnaadkwamwkrolohqa	fulltext		Egypts Presidential Specialized Council for Education and Scientific Research	2636-2562
serial	Journal of Science and Technology in Civil Engineering (STCE) - NUCE	1859-2996	1859-2996	2019	13		2022	16				container_gfiywqiwkzflhbjgnpcrsn4vrq	fulltext		National University of Civil Engineering (NUCE)	1859-2996
serial	Revista Mexicana de Ciencias Geológicas	1026-8774	2007-2902	2018	35		2021	38				container_bteazfdr5fextgh6wtbzsp3fhq	fulltext		Universidad Nacional Autonoma de Mexico	2007-2902
serial	Majalah Ilmiah Matematika dan Statistika	1411-6669	2722-9866	2018	18		2022	22				container_j6brdhuppbbkfbqsvalah3o4wy	fulltext		UPT Penerbitan Universitas Jember	1411-6669
serial	Jurnal Teknik Sipil dan Arsitektur	2301-668X		2021	26		2023	28				container_edbnfuzulrg5jblxbl27mskn2u	fulltext			2301-668X
serial	International journal of medical laboratory research		2456-4400	2018	3		2021	6				container_t3v3wc6wzrawngvel3q5fotsne	fulltext		International Journal of Medical Laboratory Research	2456-4400
serial	Faṣlnāmah-i ̒ulūm va fanāvarī-i faz̤āyī	2008-4560		2019	12		2022	15				container_heaabtjen5eohkcscyw5muqu5m	fulltext			2008-4560
serial	Techne Series: Research in Sloyd Education and Craft Science A	1238-9501	1893-1774	2021	21		2023	30				container_j3gqrfnfpzdb5iedwxn7bea2tq	fulltext		Høgskolen i Oslo og Akershus	1893-1774
serial	Revista da Associação Brasileira de Pesquisador s Negr s - ABPN	2177-2770	2177-2770	2020	12		2021	14				container_xpq36axi2rc7npvan754z7isye	fulltext		Revista da ABPN	2177-2770
serial	European Spatial Research and Policy	1231-1952	1896-1525	2009	16		2021	28				container_tgyonejppvfyfejbbi6wosocse	fulltext		Uniwersytet Lodzki (University of Lodz)	1231-1952
serial	JAPANESE JOURNAL of ELITE SPORTS SUPPORT	2188-8183	2188-8191	2008	1		2017	8				container_qimgezxci5aldi5fd3zcxugyoq	fulltext		Japan Institute of Sports Sciences, Japan Sport Council	2188-8183
serial	Studia Białorutenistyczne	1898-0457	2449-8270	2015	10		2023	16				container_et4jrredtnhg7mnmz4upmvva64	fulltext		Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej w Lublinie	1898-0457
serial	Journal of Nucleic Acids	2090-0201	2090-021X	2010	2010		2021	2021				container_jdobinqq2nf5doipz5kfntsjha	fulltext		Hindawi Limited	2090-0201
serial	Jurnal ILMU DASAR	1411-5735	2442-5613	2020	21		2022	23				container_u6tn56u255cnfe3a3v5azzpgiy	fulltext		UPT Penerbitan Universitas Jember	2442-5613
serial	Journal of Rocket-Space Technology	2409-4056		2018	26		2022	30				container_cpzw7p27erg3dihjxx7qa2kczy	fulltext		Oles Honchar Dnipropetrovsk National University	2409-4056
serial	South African Journal of Agricultural Extension (SAJAE)	2413-3221	2413-3221	2015	43		2021	49				container_ij5ijd5yxrbjbf6jqvpapqmbaa	fulltext		Academy of Science of South Africa	0301-603X
serial	Süleyman Demirel Üniversitesi Eğirdir Su Ürünleri Fakültesi Dergisi	1300-4891	1308-7517	2014	10		2019	15				container_srn2wqurtfferhdhrrbznwifre	fulltext		Süleyman Demirel University	1300-4891
serial	Bulletin of Ishikawa Agricultural College	0389-9977	2433-6491	1972	1		2004	33				container_vqtvdtd3tret5prthjyji4ka6i	fulltext		J-STAGE	0389-9977
serial	Revista de Nefrología, Diálisis y Trasplante	0326-3428	2346-8548	2014	34		2019	39				container_zawm6zul7zd6xozrgryelhwzra	fulltext		Asociación Regional de Diálisis y Trasplantes Renales de Capital Federal y Provincia de Buenos Aires	0326-3428
serial	Revista (Con)textos Linguísticos	1982-291X	2317-3475	2020	14		2021	15				container_5t7i4edqmjey5izc3v6duqej4m	fulltext		Universidade Federal do Espírito Santo	1982-291X
serial	ISRN Toxicology	2090-6188	2090-6196	2011	2011		2014	2014				container_jwssoltadneobdrvevvsugb5dq	fulltext		Hindawi (International Scholarly Research Network)	2090-6188
serial	Folia Toruniensia	1641-3792	2657-4837	2011	11		2022	22				container_xz6u6ybznzczjlxg6pirp6jxe4	fulltext		Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University	1641-3792
serial	Cuadernos de Rusística Española	1698-322X	2340-8146	2019	15		2021	17				container_ldjqvbd3kjgrlpotufo542f5cm	fulltext		Editorial de la Universidad de Granada	1698-322X
serial	Bulletin of the Polish Academy of Sciences: Technical Sciences	0239-7528	2300-1917	2009	57		2022	65				container_gw7kalohf5dsdag2u3svsyd66y	fulltext		De Gruyter Open Sp. z o.o.	0239-7528
serial	KEMANUSIAAN:  The Asian Journal of Humanities	1394-9330	2180-4257	2010	17		2022	29				container_q4rdugnoczgrlcktdk4pea6gne	fulltext		Penerbit Universiti Sains Malaysia	1394-9330
serial	Acta Angiologica	1234-950X	1644-3276	2015	21		2022	28				container_zzmym24nobee5oux2b624nsk64	fulltext		VM Media sp. z o.o. VM Group sp.k. Grupa Via Medica	1234-950X
